ngram,hawkish,dovish
대비 상승 지난주,0,1
거래 시작 간밤 미국,0,1
국채 가격 고용,1,0
하락 외환시장 달러화 하락 거래,1,0
상방 경직성,0,1
설명 외국 은행,1,0
상승 금리 거래 국채선물,0,1
특정 방향,0,1
전망치 평균 조사,0,1
선 움직임,0,1
직면 연준,1,0
연장 원금 상환,1,0
이내 우대금리 적용,2,0
인상 횟수 기존 회로,0,1
별도 금리,0,1
금융회사 협의,1,0
특이 동향,1,0
취급액 잔액 기준 코픽스,0,1
당장 신규,0,1
집계 신종,0,2
성장 원장,1,0
동결 신종,0,1
자동차 기존 주도주,0,1
추석 연휴 동안,1,0
대응 전략 마련,0,1
경계 시각,0,1
논쟁 사실 크 미시 대응,0,1
금리 인하 요구 권리,0,1
발언 당분간,0,1
앵커 한국은행 기준금리,0,1
인하 인하 인하 인하,1,0
심화 높,0,1
명단 제외,1,0
원자재 결제 임직원 급여 상여금,0,1
사정 감안,1,0
중심 역전폭,1,0
거래 통안채 하락,0,1
금통위 독립,0,1
후반 수출업체,1,0
공급 통안채,1,0
배제 말씀,0,1
중앙은행 연방준비제도 고위,1,0
답변 물가,0,1
종류 전세자금 대출 포함 주택담보대출,1,0
여름 인플레이션,0,1
현지 공영,1,0
대출 금리 은행채,1,0
발행계획 발행 건수 발행금액,0,1
지적 이미지,1,0
채무 관계,0,1
간이과세자,0,1
부각 주가,1,0
유가증권시장 전체,1,1
뉴욕 뉴욕 팰리스 호텔 한경,0,1
고물 환율 고,1,0
변동성 주식,1,0
기대 어려울,1,0
인상 점점,0,1
관심 주문,1,0
충격 금리,0,2
금리 인상 시기 시장,0,2
상승세 한국은행,1,0
무서움,0,1
부채 인식,0,1
해결 기업,1,0
간 세계,0,1
시장 유리,2,0
전문가 변동성,1,0
중앙은행 시중,0,1
전환 사례,0,1
이하 서민,0,1
콘텐츠 보다 편리,1,0
Fed 양적,0,1
당선 뒤,0,1
베이지북 지역,0,1
이상 돈,0,1
아파트 단지 모습,0,1
금공,1,0
미국 한국 기준금리,1,0
퇴직연금 취급,0,1
위축 달러화,1,0
단행 대규모,0,1
통화 약세 연동,0,1
아직 가계,0,1
중국 정부 추가 부양책,0,1
니코틴,0,1
느리 금리,1,0
컷 효과,1,0
시중은행 기존,0,2
가격 흐름 마찬가지 엠피 닥터,0,1
취급 예,1,0
인플레이션 궤적,1,0
금리 포인트 이상,0,1
해외 기관 투자가,1,0
독일 금리 연계,0,1
또 사상,1,0
Fed 입장,1,0
기간 뒤,1,0
실패 정치,0,2
순매도 계약 순매수 기록,1,0
크 로봇,0,1
수치 대비,1,0
약세 원화가치,1,0
분석 종목,0,1
파푸아뉴기니,1,0
여전히 고공행진,1,0
파워 포인트 기사 하단 첨부,1,0
충분 수요,0,3
높 유지 시사,0,1
브랜드 상품,1,0
핵심 수익,1,0
저축 미국,1,0
로더,1,0
뒤 소비자,1,0
단기 납 종신보험,0,1
국내 대형 은행,1,0
중심 잠재,0,2
기업 함께,1,0
양적 긴축 관련,0,1
평균 분석,1,0
벤처 기업인,0,2
밸류에이션 배,0,1
발생 일부,0,1
무인점포,0,1
중개 사무소 대표,0,1
우려 하락 다우존스30산업평균지수 전장,1,0
금리 채권 정보 센터 회사채,0,1
개입 외환당국,2,0
전날 마감 회사채,0,1
더욱 매파,1,0
시장 보다,0,1
높 장기 평균 비교,1,0
피터 치르,0,2
매입 분기,1,0
많이 업종,1,0
대비 이상 하락,2,0
모두 상회,1,0
상회 또,0,1
생각 의장,1,0
투자등급 매수,1,0
연착륙 경로,1,0
회사채 발행 기관 투자가 대상,0,1
재정 긴축안,0,1
업체 민간,0,1
망은,1,0
구매 계획,1,0
잘 유지,0,1
구독자 대상 다양 관점,1,0
전셋값 오름세,0,1
위주 핵심 내용 전달 주목,0,1
개장 수급,0,1
기사 관련,1,0
경기 방어 주인,1,0
포인트 지수 포인트 상승,1,0
지난달 아파트 평균,0,1
달러 감축,1,0
주식 외국인 기관 어치,1,0
단지 매물,0,1
분기 국제 투자 대조표,0,2
시장 거래 한국,0,1
매각 만기 재정증권 만기 기금,1,0
장 은행 스와프,0,1
시장참가자 여전히,0,2
금리 틱차트 출처,1,0
기대 금융 국제 문제,0,1
달러원 간밤 약세 반영,1,0
가격 혼조세 국채,1,0
인플레이션 목표치 금리,1,0
아시아 장 반락,0,1
압력 작용 상당기간 높,1,0
금리 크 폭 상승 거래,1,0
전채 스프레드,0,1
발언 달러인덱스,0,1
한국 최종,1,0
보험사 조달,1,0
물가 소화,1,0
테이블 테이블,0,1
발행 금리 동일 만기 민평,0,1
이상 호전,0,1
국채 수익률스프레드,0,1
시장 일평균 외환 거래,0,1
디아 갈리,1,0
증권 계약 거래일,1,0
부담 크 작용,0,2
상승 고시 높 상승,0,1
통화정책 민감 수익률,2,0
외국인 매수 매도,1,0
국채 값 상승,2,0
채권 운용역 국 발계,0,1
금리 비농업 고용,0,1
비슷 시각 국채선물,1,0
중반 상승 출발,0,1
반응 다소,0,1
현황 응찰금액 종목,0,1
미국 국채 수익률 가파르,0,1
국내외 금융기관 곳 대상 조사,1,0
연방준비은행 전미 활동,1,0
현행 지급여력,0,1
지속 물가 당분간 상회,0,1
국채선물 일시적,0,1
전구간 상승 CRS 금리,0,1
제기 해외,0,1
고려 채권 금리,1,0
물 거래일 최종호가 물,1,0
조건부 증권 매각 만기 재정증권,1,0
스와프 포인트 거래일 물,1,0
시장 달러원 상승 반영 전장,0,1
중국 대형주 캐나다 원당 근월물,1,0
매도 추천 기준일,1,0
결과 법 책임 소재,0,1
전송 변형 대여 수록 내용,1,0
제조업 임금,1,0
차이신 제조업 PMI 미국,0,1
기준 미국 내구재 주문,1,0
증권 투자 증권 경제,1,0
분기 경제 성장률 미국,0,1
이벤트 일정 증시 동향,0,1
분석 담당자,0,1
회사채 우축 장단기스프레드 축,0,1
한국은행 한국은행 건설 수주,0,1
기준 실업률 축 고용자수,0,1
연간 수출 컨센서스 연간,1,0
인플레이션 경상 수지,0,1
독일 기준 제조업,1,0
일본 기말 국제,0,1
무역 경상 수지 물가 소비자,0,1
작성 확인 기관 외국인,0,1
담당자 의견 정확 반영,0,2
누적 자금 순유출입 동향,0,1
캐나다 위안,0,1
오름 축소,2,0
대출 축,1,0
하향 소비자,1,0
축 제조업,0,1
간밤 특별,0,1
결과 미국 재무부,0,1
일본은행 총재 국회,1,0
중기물 초장기물,0,1
보합권 호주 국채,1,0
강세 제약 요인,1,0
상승률 물가 경로 국제,1,0
국채 금리 틱차트 미국 국채,0,1
물가 대외,0,1
저축 여력,0,1
계약 감소 미국,1,0
연방 적자,1,0
오후 전장 하락 거래 하락,1,0
은행채 발행한도 제한,0,1
긴축 일부,0,1
글로벌 국채시장,0,1
전면전 우려,1,0
거래량 집계 저작권 무단,1,0
주관 저작권,0,1
대선 트럼프 후보,0,3
금리 전장 거래 금리차이,0,1
대비 하락 구간 대비 하락,0,1
달러원환율 오후 종가,0,1
대비 하락 개장 거래일 국채,1,0
시나리오 인하,1,0
대비 연율환산,1,0
국채 금리 고시금리 금투협 최종호가,1,0
달러위안 위안 엔원,1,0
전체 재정,1,0
충분히 유지 가운데,0,1
거래일 종가 오후 시장참가자,0,1
국제기구 기관,0,1
평가 응찰,0,1
통화 달러엔 환율,0,1
운용역 채권,1,0
사태 초래,1,0
외국인 계약 은행 계약 오후,0,1
매각 만기 지준 증가 통안채,0,1
외국인 코스피 어치 순매도,1,0
계약 증권사 계약 시장 시장참가자,1,0
금리 상승 폭 다소,2,0
종합 분기,0,1
시장 약세 재료,0,2
급락 한은,1,0
연은총재 투표,1,0
여지 제공,1,0
물 하락 통안채 금리 거래일,0,1
상승 폭 결정,0,1
티 잉 이코노미스트 이메일 인터뷰,1,0
오후 일본,1,0
거래량 한국자금중개 양사 집계 코스피,1,0
만기 스와프 포인트 거래일 마이너스,0,1
포인트 하락 경기,0,1
금융 모두,1,0
금리 전월 대비 상승 대출,1,0
국고채 사이,0,1
소비자동향조사 무역지수,0,1
당선 크,0,2
임금 증가세,0,1
대비 금리 스프레드,1,0
매파 발언 미국 금리 인상,0,2
유지 이코노미스트 한은,1,0
달러화 역외 환율 상승 반영,0,1
금리 유럽중앙은행 양적완화,0,1
예측 자산운용사,1,0
평가 차관,0,1
은행 외환딜러 글로벌 강세,0,1
다음 예정 국고채,1,0
심리 빠르,0,1
최저치 유지,1,0
물가 수출,1,0
싱가포르 약세,0,1
공인회계사 시험 최종,0,1
물 지표물 중심,1,1
틱 상승 외국인 은행,0,1
미결제 계약 국채선물 거래량,0,1
적어도 분기,0,1
업계 손보,1,0
순매수 환시 마감 달러엔,1,0
하락 거래 시작 낙폭,0,1
출발 국고10년 지표물 전날,1,0
우려 신문,0,1
콜롬비아 하락,1,0
장 기간,0,1
상향 시도,0,1
금리 인상 연준의장,0,1
사록 비둘기파,0,1
은행 외환딜러 의장 발언,0,2
증가 세입 지준 감소 당일,1,0
국채선물 순매수 포지션,1,0
국채선물 강하,0,1
커브 스티프닝 재료,1,0
외국인 매매 주목,1,0
합의 진전,0,1
감소 부채,0,1
회사채 AA등급 거래일 만기,1,0
금융시장 제한,0,1
금리 개장전,0,1
자본 건전성 선진 추진단,1,0
입찰 응찰률 응찰 금리 분포,1,0
연말 환매,0,1
분기 신종 코로나 바이러스 감염증,1,0
추가 확진,1,0
금리 하락 신종,1,0
증권사 채권 운용역 한은,0,1
금융통화위원회 신종,1,0
전년비 전기비,1,0
하락 코스닥 하락 마감,0,1
은행 경쟁력,0,1
수급 다소 빠듯,2,0
진행 금융위,0,1
크 상승 폭 그리스 가장,1,0
지난주 마감 지난주 미국,2,0
만기 국채 금리 하락 만기,1,0
보합세 국채선물,1,0
틱 상승 거래 증권 계약,0,1
국고채 순증,1,0
상승 국채선물 금리 상승,0,1
미국 채권 금리 트럼프,0,1
금리 연방준비제도의장 발언,1,0
스와프 물량 많,0,1
폭 좀,1,0
규모 방안,0,2
이자율 파생상품,0,1
계획 국민,0,1
개인 소득 개인 지출,1,0
수출 호조 지속 가운데 소비,0,1
전체 단기 장기 금리,1,0
전 국민 금융,1,0
일본은행 잔존만기,0,1
통화스와프 금리 전체 상승,0,1
중순 국고채,1,0
참가자 금리 인상,1,0
인상 논거,1,0
등락 해외,1,0
러시아 우크라이나,2,0
우크라이나 전쟁,1,0
부동,3,0
중심 나스닥지수,2,0
매입 규모,0,1
무역 갈등,0,2
시중은행 딜러,0,3
금리 일 기준,0,1
출시 해당,0,1
민간 영역,1,0
원대 초반 하락,0,2
물가 상승 지속,1,0
시장 심리 변화,0,1
의심 없,0,1
다시 상승 폭,0,1
중장기 로드맵,0,1
금리 소급 적용,2,0
우려 당국,1,0
매수 목표주가 유지 현재,1,0
접종 상승,0,1
글로벌 최저,0,1
주식시장 충격,1,0
이전 예상,0,1
잭슨홀 미팅 테이퍼링,0,1
인터넷은행 신용 대출,1,0
실명 계좌,0,1
관련 물가,1,0
초과 주택 담보,1,0
인플레이션 우려 여전,1,0
미국 연준 정책,0,1
구축 기업,1,0
국회 개원식,1,0
세부계획,1,0
기간 물가,1,0
부문 고용 증가,0,1
작 같,0,1
엄격 재정,0,1
정책수단 도입,1,0
증시 위험,0,1
쇼크 한국,1,0
지표 지난달,0,1
환매 연기,0,1
증권사 크레딧,0,1
부족 현상 지속,1,0
한국 선진국,0,1
금리 연방준비제도의장,0,1
대비 달러 가치,1,0
징계 확정,0,1
오전 현재 거래일 종가,1,0
금리 상승 수혜업종,0,1
러시아 터키 브라질,0,1
미국 성인,0,1
자영업자 손실,0,1
달러인덱스 전장,2,0
전기전자 제조,0,1
항공 제조,2,0
하락 거래 지수 마감,1,0
개선 교육,0,1
가계 대출 높 증가세,1,0
변동 금리 상승,0,1
가계 대출 올해,1,0
코스닥 지수 외국인 가량 기관,1,0
기준 역대 최고,1,0
하락 전세,1,0
간 최저임금,0,1
상반기 부진,1,0
시점 경기 침체,0,1
유가 소폭 상승 인도분 서부텍사스산원유,1,0
원대 상승 전환,1,0
기록 이외 중소형주 위주 러셀지수,0,1
투자자 지금,1,0
코로나 거리,0,1
주요 지수 장중,1,0
은행권 이자 장사,0,1
상반기 가장,1,0
의무 면제,0,1
작용 강화,1,0
경기 침체 우려 상황,1,0
신흥국 관련주식 펀드,1,0
차기 연방공개시장위원회,0,1
연방준비은행총재 행사,1,0
소득세법 개정,0,1
애널리스트 보고서,0,1
반영 하반기,0,1
지수 외국인 투자자 가량,2,0
악재 상당부분,1,0
사료 구매자금 지원,1,0
재차 피력,0,1
탑 산업 훈장,0,1
선정 절차,0,1
한국은행 외자운용원,1,0
최고 금리 인하 후속,0,1
프랑스 일본,0,1
전년 동기 대비 증가 상반기,1,0
마켓 포인트 미국 블루칩 다우존스30산업평균지수,1,0
포인트 기록 같 달러인덱스,1,0
변동 금리 차주,1,0
코로나 델타 변이,1,0
결과 향후 간 예상 인플레이션율,0,1
상승률 이란,2,0
국민 나라,1,0
루나,1,0
강하 인플레이션 압력,0,1
관계자 우수,0,1
물가 상승 경기 둔화,1,0
보도부,0,1
중대재해 처벌 법 시행,0,1
직원 해고,0,1
대통령 국무회의,0,1
신차 가격,1,0
원유 수요 우려,1,0
대통령 북한 국무,1,0
원리금 상환 부담 크,0,1
포인트 지급,1,0
분기 성장률 전기 대비,1,0
배럴 달러 급등,1,0
금융 취업,0,1
순매수 기록 기관,1,0
수출 사상,0,1
정부 포용,0,1
민감 국채,0,1
운용 지시 방법,1,0
기재 부도,2,0
대응 요소,1,0
한국은행 금융통화위원회 매파,0,1
금리 재차,0,1
제재 근거,0,1
현물 채권 순매수,1,0
보이스피싱 범죄,1,0
연설 물가,0,1
직장 사랑 보통예금,1,0
금리 가장 높 곳,1,0
점검 회의 개최,1,0
월지 급액,0,1
투자 영향,0,1
상대적 규제,1,0
부부 주택,0,1
정부 고강 부동산 대책,2,0
불구 현재,1,0
부채 관리 차원,2,0
무역전쟁 촉발,0,1
금융회사 지배 구조법,0,1
소비자 불만,1,0
말 이중,0,1
달러 당시,2,0
최고 지난해,0,1
코로나 특례,1,0
진흥공단 중부,1,0
진정 경기,0,1
주간 수익률,1,0
기관 시중은행,1,0
CP 회사채,0,1
대상 초저금리,0,1
역사 최고,0,1
재정 적자 비율,0,1
기준 코픽스 연동 주담대,0,1
연내 차례 인하,1,0
행사 가능성,1,0
적절 조치,0,1
연준 목표치 인플레이션,0,1
감염증 사태,1,0
온라인 투자 연계,0,1
공조 본격,1,0
미국 연준 금리 인하 기대감,1,0
일본 백색 국가,0,1
해상 풍력,0,1
직무 관련 심사,1,0
도입 연준,1,0
문책 경고 통보,0,1
주요국 중앙은행 자산,0,1
내용 한국,1,0
부채 전년,0,1
제2금융권 총부채 원리금,0,1
이란 우려 크,0,1
말 코스피지수,1,0
하회 기준금리,0,1
방카슈랑스 상품 가입 이후,0,1
정보 파악 관련 은행 문의,1,0
거래 조건 수시로,0,1
시가총액상위종목 중,1,0
투자 단계,1,0
금리 중간 값,0,1
금리 물 금리,1,0
일본 유럽연합,1,0
시가총액상위종목 일제히,0,1
공급 효과,1,0
담보 금리,1,0
합동브리핑 실,0,1
순매도 가운데 외국인,1,0
중국 상해 종합,0,1
기존 잔액,1,0
기준 코픽스 대출,1,0
이해력 조사,1,0
현재 고정,1,1
포인트 인하 미국,2,0
금융정책 상품 기본,1,0
시세 정보,1,0
발표 분기 가계 동향 조사,1,0
사모펀드 업계,0,1
홈페이지 공개,0,1
기록 수익률,1,0
사회 필요,1,0
변곡점 다시 투자전략,1,0
월말 결제수요,1,0
상승 주간 한국,0,1
금리 인하 기대 미국,1,0
인플레이션 연준 목표,1,0
진전 부족 목표치,0,1
높 스태그플레이션,0,1
크 폭 웃돈,1,0
분양가 새,1,0
장 미국 금리 거래일 대비,1,0
시간외거래 주가,0,1
판단 달러화,1,0
오름세 국채 금리,1,0
레포 금리 거래일 대비 보합,0,1
핵심 개인 소비,0,1
같 기간 에너지,1,1
디스인플레이션 흐름,0,1
본점 딜링룸 스크린 코스피,0,1
런던 FTSE100지수 독일 지수 프랑스,1,0
중국 태양광,2,0
달러 부합,0,1
나라 미국 경제,0,1
주간 한국,0,1
지방세법 시행령,0,1
중심 실적 개선,0,1
판단 국채,0,1
회계연도 분기 매출 달러,1,0
데이터 인플레이션 지속,1,0
평가 연준 금리,0,1
시가총액상위종목 대부분 오름세,0,1
차례 금리 인하 이란,1,0
궁금 미국,1,0
달러엔 환율 추가,1,0
유사 전망,1,0
참여 경쟁입찰 방식,0,2
당국 긴밀히,0,1
생성 기술,1,0
지속 고물가,0,2
인하 속도 더디,0,1
격인 이더리움 전일,1,0
마켓 포인트 민평 기준 장내,0,1
대응 한편,1,0
인하 전망치,1,0
최종 소비재 가격,1,0
데이터 계속 반영 점차,1,0
연방준비제도이사회의장 발언 대기,0,1
끝 신규 실업보험청구 자수,1,0
증시 항셍 종합,0,1
부채총계,0,1
생산 기지 건설,1,0
경기 개선 신호,1,0
상장기업 곳,0,1
이후 박스권,0,1
전망치 비롯,0,1
대비 감소 금리,1,0
금리 기록 미국 금리 아시아,1,0
국가 안보 소통,0,1
장초 반 상승,0,2
판매 특히,0,1
센트 일제히 하락,0,1
국내 국고채 시장 내외 등락,0,1
기준 급,1,0
차트 엠피,0,1
가운데 주요 통화,0,1
해지 금,0,1
달러 약세 아시아 통화 강세,0,1
선 스프레드 계약서,0,1
총예산,0,1
연방공개시장위원회 정례회의 기준금리 기존,1,0
폭 확대 환율 오전,1,0
미국 소비자 심리 지수 기대,0,1
데이터 의존 정책,1,0
FOMC 사록 대다수,1,0
재무 여건,0,1
기록 금리 아시아 장 미국,1,0
감세 재정 적자 가중,1,0
성장 대출,0,1
의원 의원 의원 의원,1,0
가계 신용 비율,1,0
수출 상승세,0,1
인하 가능성 보다 페드워치,0,1
지난달 발표 속보치,1,0
부합 인플레이션 둔화,1,0
류체,0,1
최종 공모 희망,1,0
높 기술,1,0
대통령 유럽의회,0,1
높 기저효과,0,1
직 수락,1,0
우버 택시,1,0
주요 통화 대비 거래일,1,0
판매 전월 대비 보합,0,1
역대 최대 실적 달성,1,0
회사채 시장 수급,1,0
거래일 대비 출발 아시아 장,1,0
조달 달러,0,1
은행 가계 대출 잔액 기준,0,1
에코 플랜트,0,1
페드워치 기준금리 인하,2,0
아파트 시장 활성화,0,2
반납 투쟁,0,1
가장 작 다우존스 집계 전문가,0,1
진전 더 좋 데이터 연준,0,1
하락 외국인 국채선물,0,1
문제 악화,1,0
조언 투자 증권,0,1
거래 에너지,1,0
금융정책결정회의 단기 금리,0,1
계좌 출시,2,0
이자 가장,1,0
사 전년,0,1
부동산 PF 브릿지론,1,0
흉흉,0,1
증권 매입 보장,1,0
침체 완만,1,0
공공 매입,0,1
제시 모집 물량 최대 증액,2,0
지역 은행권,0,1
주택담보대출 특례 보금자리론,0,1
긴장 상황,1,0
금융위기 속,1,0
분기 개인 소비 지출 가격지수,1,0
둔화 작년,1,0
인플레이션 노력,0,1
출시 지난달,1,0
근원 물가 소비자 물가,0,1
시석 경기 신보,1,0
국내 상업 부동산시장,0,1
종목 쏠림,0,1
금리 하락세 국내,1,0
하회 전월 대비,0,1
은행권 경영 영업,0,1
원리금 정상 납입 연체,1,0
전월 월가,1,0
올해 최종 금리,0,1
신용 여건 악화,0,1
위주 나스닥지수 거래,0,2
국토교통부 말,0,1
투자자 추가,1,0
채용 중단,0,1
MSCI 리츠,0,1
인도량,1,0
강세 당분간 지속,1,0
종목 상승 마감,0,1
안 종합,1,0
작년 금리 인상 시작,2,0
포인트 거래 개인,1,0
정책금리 더,1,0
위기 소상공인,0,1
영국 감세정책,0,1
유통기한,0,1
이달 연장,0,1
일용,1,0
급매물 가격,1,0
시장 혼란 초래,1,0
국내 증권사 곳 대상,0,1
생각 국민,0,1
거래일 대비 달러 하락 배럴,1,0
국회 국정감사 대책회의,1,0
유가 불안,0,2
장 미국 금리 소폭 상승,1,0
듀레이션 짧,0,1
순매도 국고,0,1
이란 개입,1,0
상당히 긴축,1,0
국내 증시 이탈,1,0
투자자 국내 증시 이탈,1,0
추계 결과,0,1
매도 달러 매입 수요,1,0
도달 판단,0,1
금리 거래 기록 장기,1,0
유지 고금리,0,1
소매 판매 전년 대비,0,1
FOMC 기자회견,0,1
금리 공개 코픽스 금리,1,0
오후 중구 딜링룸 현황,1,0
하이브리드 전기차,1,0
대비 증가 다우존스,1,0
금리 유지 말,0,1
활동 인플레이션 시차 경제,1,1
기술적 매수세 유입,1,0
운송 업체,2,0
상승 지지 외국인 코스피 시장,1,0
약세 국고3년 물,0,1
낙찰 기관 사 어치 낙찰,1,0
오전 기준 틱,1,0
국고3년 물 금리 거래일,0,1
경제장관회의 수출,0,1
발표 미국 비농업 고용,0,1
연방준비제도 연내 추가 금리,1,0
유지 근원,0,1
연말 내외 등락,0,1
둔화 추가 금리,1,0
상승 나스닥지수 전장 포인트 장,0,1
계속 상승 흐름,0,1
전망 연방준비제도의장,0,1
모습 국내은행,1,0
금리 흐름 반영,0,1
장 미국 국채,0,1
상당기간 지속 추가 인상 필요성,0,1
상승 국채선물 가격,1,0
물가 전망치 하향조정,1,0
저축은행 제2금융권,0,1
인상 전망 달러,0,2
곳 투자,0,1
외국인 기관 개인,1,0
예상 반면,0,1
기업 실질,0,1
루블화 가치 하락,0,1
금리 하락 채권평가이익,0,1
국내 소비자 물가,0,1
실시 미국,0,1
은행 예대율 산정,1,0
기업 부진,1,0
금리 인하 여파,0,1
취약 국가,0,1
유가 하락 비용,0,1
규모 특히,0,2
금융지주회사,0,1
분기 안,0,1
고배 펀드,0,1
패션 브랜드,1,0
올해 크,1,0
부채 탕감,0,1
반영 수정,0,1
미래 은퇴 연구소,1,0
위축 모습,1,0
유지 수출,0,1
상당히 좋,1,0
신규 반영,1,0
법조 타운,1,0
마이너스 한계 대출 금리,1,0
경제 리더십,1,0
펀드 머니마켓펀드,1,0
차익실현 모습,0,1
경제 국제,1,0
안정 예상,0,1
원화 절상 압력,0,2
대규모 경상 수지,1,0
투자 가치,0,1
전망 변화 없,1,0
복지 체계,1,0
확대 상품,1,0
통화정책 논의,0,1
부문 개선,0,1
주거 해결,1,0
홍콩 상장,0,1
강세 수출 부진,1,0
커플링,1,0
여건 뛰어나,3,0
지난해 금통위 의사록,1,0
최고가 기록,0,1
이자수익 추구,0,1
중상위,1,0
동조 현상,0,1
뉴욕증시 달러,1,0
추운 날씨,1,0
조기상환 기준,1,0
평가 한편,1,0
기준금리 수익형,1,0
상환 구조,1,0
태스크포스 구성,0,1
수정안,0,1
전기전자 섬유의복,1,0
간부회의,0,1
운수 창고 음식료품,1,0
성장 기대감,1,0
어렵 경영 환경,0,1
유가 하락 공급,1,0
말 중앙은행,0,1
기준 배,1,0
강조 금리 인하,1,0
경기 부양 기대감 상승,1,0
중국 분기 성장률,1,0
우려 풀이,1,0
빠르 입주,0,1
새누리당 최고위원회의,1,0
여가 생활,0,1
주행,0,1
복무,0,1
급락 에너지,1,0
인민은행 지준율 인하,1,0
두바이유 가격,1,0
증권 예탁,1,1
유가 급락 러시아,1,0
목표가 제시,0,1
쇠퇴,1,0
잠수,1,0
올해 경제정책,0,1
출발 국제 유가,1,0
하락 국가,1,0
값 급락,1,0
증시 홍콩 증시,0,1
부총리 가계,0,1
반영 레벨,0,1
금리 예측,1,0
금리 통화정책,1,0
교육 시스템,0,1
시기 시장,1,0
아시아태평양경제협력체,1,0
계약 순매도 반면,1,0
증권시장,1,0
무역지수,1,0
비율 높,0,1
포시 해외 경제 포커스,0,1
물 거래,0,1
싸움,1,0
세계 경제 성장률,1,0
기술적 반등,1,0
정부 개입,0,1
재검토,0,1
예정 금통위,1,0
황금,0,1
변경 가능성,0,1
상식,0,1
대비 장,0,1
스탠스 유지,1,0
본관,1,0
전망 이날 오전 현재,1,0
이미 지난해,1,0
노벨경제학상,1,0
성사,0,2
소득 대비 부채비율,1,0
지표 발표 없 일본,1,0
가득,0,1
알,0,1
대부업,1,0
미국 고용 지표,0,1
본사,1,0
매일 오전 시장 성공 투자전략,1,0
계약 순매수 이틀 연속,1,0
개념,0,1
기대감 높,1,0
매수세 반면,0,1
순매도,1,0
위원,0,1
오전 시장,0,1
출구전략,1,0
거래량 거래대금 집계,1,0
위안화 국제화,1,0
금리 현재,1,0
CRS 금리 구간별,1,0
수출 호조,1,0
이후 분기,0,1
유로존 인플레이션,1,0
비거치식 분할상환대출,1,0
매도세 지속,1,0
일제히 하락,1,0
영업력,0,1
주요 변수,1,0
금리 발행,1,0
가산,1,0
지준 증가 요인 반면 통안채,1,0
동결 내년,0,2
테이퍼링 속도 빠르,1,0
분기 안정 실적,0,1
차익 잔고,0,1
효과 활용,1,0
기록 전년 동기 대비 증가,1,0
아주 좋,0,1
확대 반면,1,0
이대로,0,1
작 말,0,1
전망치 발표,1,0
기준금리 전격,0,1
하락 국내 채권시장,0,1
부실채권 비율,0,1
계열 저축은행,1,0
별다른 특징,1,0
도보 거리,1,0
정도 같,1,0
건전 경영,0,1
간밤 뉴욕증시 상승 마감,0,1
긍정적 흐름,0,1
유럽 재정위기,0,1
불안 지속,0,2
실업률 금리 인상,0,1
없 뉴욕증시,0,1
수요예측 진행,1,0
안정 긍정적,0,1
통화승수 배,0,1
이자율 사채 만기일,0,1
백화점 상품권,0,1
신흥국 통화가치 하락,0,1
통화안정증권 중도환매 경쟁입찰 실시 결과,0,1
분위기 강하,0,1
관련 발언,0,1
바이트 총재,1,0
해석 말,1,0
미래 스마트,0,1
마감 분기,1,0
별반,0,1
부각 가능성,0,1
회로 전장 확대,1,0
이유 올해,0,1
연중 최저,0,1
질 악화,0,1
분기 정도,1,0
기준금리 인상 없,0,1
순매도 반면 금융투자 계약 순매수,0,1
매출액 영업이익 전년 동기 대비,1,0
달러 대규모,1,0
하반기 성장률,0,1
금융 활성화,1,0
인수 물량,1,0
추가 부양 기대감,0,1
담보대출 신용,0,1
금융지원 업무 협약 체결,0,1
의료인,0,1
수식어,0,1
외환딜러 달러,0,1
단행 어렵,1,0
수준 금리 적용,1,0
무선통신 기기 수출,0,1
호조세 금리,0,1
중도금 대출 규모,0,1
트럼프 대통령 당선 이후,0,1
금리 상승 전환,1,0
고객 기존,1,0
ECB 채권 매입프로그램,0,1
현명 투자자 선택 최저,1,0
초장기물 금리 금리,0,1
상호금융 대출,1,0
독일 증시 지수 프랑스 증시,0,1
금리동결 가능성 높,1,0
활동 전반,1,0
분명 판단,0,2
한은 사람,0,1
거래일 거래 달러환율,1,0
사모전환사채 전환 가액,0,1
휘발유 경유,2,0
인상 확률 높,1,0
상품 정보,0,1
오후 은행,0,1
그만큼 상승,1,0
확대 대형,1,0
인수 공시,0,1
강세 경기,0,1
곳 문,1,0
文 정부,1,0
선거비용 보전,0,1
합계출산율,1,0
체결 뒤 기념,1,0
부처 장관,0,1
언급 처음,1,0
행정 수도,2,0
기금 운용자산,1,0
혁신 포럼,1,0
대비 회사채 회사채 금리,1,0
자료 마켓 포인트 달러화 대비,1,0
신용평가 서비스,2,0
통신비 납부,0,1
브라보,1,0
정보 통신부,0,2
기조 고려,1,0
이벤트 혜택,0,1
혜택 제공 일,1,0
코픽스 신규,1,0
이익 전망 하향조정,0,1
장기 회사채 투자,0,1
케이뱅크 관계자,1,0
총재 양적완화 축소 시사,1,0
전개 방향,0,1
네덜란드 총선,2,0
낙찰가율 하락,1,0
일 투자은행,0,1
국회 청문회,0,1
연일 사상 최고치,0,1
금리 상승 간밤 미국,1,0
경제 전반 악영향,0,1
현재 국채선물 계약 순매수,1,0
반이민정책,0,1
유동성 지원 창구 대출,0,2
국토교통부 차관,1,0
지난해 분기 국내총생산 증가율,1,1
예상치 부진,1,0
부동산 매물,1,0
최고 하루,0,1
크 좌우,0,1
정보부족,0,1
